carrier_code,carrier_name,carrier_country
AAL,American Airlines,United States
AEE,Aegean Airlines,Greece
AFR,Air France,France
AUA,Austrian Airlines,Austria
BAW,British Airways,United Kingdom
BEL,Brussels Airlines,Belgium
CFE,BA CityFlyer,United Kingdom
CFG,Condor,Germany
DAL,Delta Air Lines,United States
DLH,Lufthansa,Germany
EDW,Edelweiss Air,Switzerland
EIN,Aer Lingus,Ireland
EJU,easyJet Europe,Austria
ETD,Etihad Airways,United Arab Emirates
EWG,Eurowings,Germany
EXS,Jet2,United Kingdom
EZS,easyJet Switzerland,Switzerland
EZY,easyJet,United Kingdom
FIN,Finnair,Finland
ITY,ITA Airways,Italy
JAF,TUI fly Belgium,Belgium
KLM,KLM Royal Dutch Airlines,Netherlands
LGL,Luxair,Luxembourg
LOT,LOT Polish Airlines,Poland
NJE,NetJets Europe,Portugal
PGT,Pegasus Airlines,Turkey
RYR,Ryanair,Ireland
SAS,Scandinavian Airlines,Sweden
SIA,Singapore Airlines,Singapore
SWR,Swiss International Air Lines,Switzerland
SXS,SunExpress,Turkey
TAP,TAP Air Portugal,Portugal
TUI,TUI Airways,United Kingdom
TVF,Transavia France,France
UAL,United Airlines,United States
VLG,Vueling,Spain
WJA,WestJet,Canada
WZZ,Wizz Air,Hungary
